!Sequence;country;plot;latitude;longitude;altitude;orientation;date_installation;plot_size;trees;sub_plot_size;mean_age;tree_species;yield_abs;yield_relative;other_observations
1;4;801;+484841;+082357;12;2;251082;0.25;45;;5;118;;;
2;4;802;+492742;+084514;11;7;300583;0.25;71;;5;118;;;
3;4;803;+475939;+085951;15;9;070483;0.25;55;;6;118;;;
4;4;804;+481747;+083940;14;9;190483;0.25;64;;5;118;;;
5;4;805;+474656;+074208;21;7;180805;0.25;32;;7;118;;;Plot with same ID existed before on a different location
6;4;806;+480117;+075808;17;6;280294;0.25;104;;4;118;;;
7;4;808;+480050;+095753;14;9;090394;0.25;120;;4;118;;;
8;4;810;+485249;+093446;12;7;280394;0.25;96;;4;118;;;
9;4;811;+493137;+091024;17;9;110494;0.25;100;;4;118;;;
10;4;812;+484531;+092545;7;7;010109;0.25;77;;5;118;;;
11;4;819;+483532;+083757;11;2;010109;0.25;75;;5;118;;;
12;4;852;+492803;+084439;8;6;010109;0.25;123;;5;20;;;
13;4;856;+480120;+075749;17;5;010109;0.25;75;;7;20;;;
14;4;858;+480034;+095813;14;9;010109;0.25;44;;7;20;;;
15;4;859;+483538;+083847;10;8;010109;0.25;40;;7;20;;;
16;4;862;+484529;+092516;7;8;010109;0.25;51;;7;20;;;
